x[cm]_0	X-CH_0	x[cm]_1	X-CH_1	x[cm]_2	X-CH_2
2.10534E-01	3.47820E-07	1.34374E-01	1.50028E-05	3.92666E-01	1.20578E-05
2.11198E-01	3.57803E-07	1.34829E-01	1.52518E-05	3.93449E-01	1.22693E-05
2.11863E-01	3.68038E-07	1.35284E-01	1.55040E-05	3.94232E-01	1.24834E-05
2.12528E-01	3.78529E-07	1.35739E-01	1.57596E-05	3.95016E-01	1.27000E-05
2.13193E-01	3.89283E-07	1.36193E-01	1.60183E-05	3.95799E-01	1.29192E-05
2.13857E-01	4.00306E-07	1.36647E-01	1.62798E-05	3.96582E-01	1.31410E-05
2.14522E-01	4.11606E-07	1.37099E-01	1.65439E-05	3.97366E-01	1.33655E-05
2.15186E-01	4.23166E-07	1.37551E-01	1.68110E-05	3.98149E-01	1.35926E-05
2.15843E-01	4.34908E-07	1.38003E-01	1.70816E-05	3.98933E-01	1.38223E-05
2.16493E-01	4.46796E-07	1.38455E-01	1.73557E-05	3.99716E-01	1.40547E-05
2.17139E-01	4.58913E-07	1.38906E-01	1.76332E-05	4.00499E-01	1.42897E-05
2.17786E-01	4.71324E-07	1.39358E-01	1.79142E-05	4.01283E-01	1.45273E-05
2.18432E-01	4.84035E-07	1.39810E-01	1.81988E-05	4.02067E-01	1.47676E-05
2.19079E-01	4.97054E-07	1.40262E-01	1.84869E-05	4.02850E-01	1.50107E-05
2.19725E-01	5.10387E-07	1.40713E-01	1.87781E-05	4.03634E-01	1.52565E-05
2.20371E-01	5.24040E-07	1.41162E-01	1.90721E-05	4.04418E-01	1.55049E-05
2.21018E-01	5.38020E-07	1.41612E-01	1.93692E-05	4.05202E-01	1.57560E-05
2.21664E-01	5.52334E-07	1.42061E-01	1.96700E-05	4.05987E-01	1.60098E-05
2.22311E-01	5.66989E-07	1.42510E-01	1.99745E-05	4.06771E-01	1.62663E-05
2.22957E-01	5.81993E-07	1.42959E-01	2.02827E-05	4.07555E-01	1.65255E-05
2.23603E-01	5.97345E-07	1.43408E-01	2.05947E-05	4.08340E-01	1.67875E-05
2.24245E-01	6.12952E-07	1.43857E-01	2.09104E-05	4.09126E-01	1.70525E-05
2.24879E-01	6.28724E-07	1.44306E-01	2.12300E-05	4.09912E-01	1.73202E-05
2.25509E-01	6.44759E-07	1.44754E-01	2.15531E-05	4.10697E-01	1.75906E-05
2.26139E-01	6.61158E-07	1.45202E-01	2.18794E-05	4.11483E-01	1.78637E-05
2.26769E-01	6.77930E-07	1.45649E-01	2.22091E-05	4.12269E-01	1.81393E-05
2.27399E-01	6.95080E-07	1.46096E-01	2.25425E-05	4.13056E-01	1.84177E-05
2.28029E-01	7.12618E-07	1.46543E-01	2.28799E-05	4.13843E-01	1.86992E-05
2.28659E-01	7.30548E-07	1.46990E-01	2.32213E-05	4.14632E-01	1.89838E-05
2.29289E-01	7.48880E-07	1.47437E-01	2.35667E-05	4.15421E-01	1.92712E-05
2.29919E-01	7.67621E-07	1.47883E-01	2.39162E-05	4.16211E-01	1.95611E-05
2.30549E-01	7.86777E-07	1.48330E-01	2.42697E-05	4.17001E-01	1.98536E-05
2.31179E-01	8.06359E-07	1.48777E-01	2.46272E-05	4.17790E-01	2.01485E-05
2.31809E-01	8.26372E-07	1.49223E-01	2.49883E-05	4.18580E-01	2.04461E-05
2.32436E-01	8.46731E-07	1.49669E-01	2.53532E-05	4.19372E-01	2.07467E-05
2.33057E-01	8.67315E-07	1.50114E-01	2.57220E-05	4.20167E-01	2.10507E-05
2.33673E-01	8.88189E-07	1.50559E-01	2.60950E-05	4.20962E-01	2.13573E-05
2.34289E-01	9.09480E-07	1.51005E-01	2.64723E-05	4.21758E-01	2.16660E-05
2.34904E-01	9.31222E-07	1.51450E-01	2.68538E-05	4.22553E-01	2.19769E-05
2.35519E-01	9.53423E-07	1.51895E-01	2.72397E-05	4.23349E-01	2.22899E-05
