[ms]_0	C-NO_0	C-OH_0
6.38464E-03	2.52923E-10	7.40360E-08
6.41448E-03	2.55801E-10	7.40323E-08
6.44431E-03	2.58680E-10	7.40286E-08
6.47415E-03	2.61560E-10	7.40250E-08
6.50398E-03	2.64442E-10	7.40215E-08
6.53382E-03	2.67325E-10	7.40182E-08
6.56365E-03	2.70208E-10	7.40149E-08
6.59349E-03	2.73093E-10	7.40117E-08
6.62332E-03	2.75978E-10	7.40086E-08
6.65316E-03	2.78864E-10	7.40056E-08
6.68299E-03	2.81752E-10	7.40027E-08
6.71283E-03	2.84639E-10	7.39999E-08
6.74266E-03	2.87528E-10	7.39971E-08
6.77250E-03	2.90417E-10	7.39944E-08
6.80233E-03	2.93307E-10	7.39917E-08
6.83217E-03	2.96198E-10	7.39891E-08
6.86200E-03	2.99089E-10	7.39866E-08
6.89184E-03	3.01981E-10	7.39841E-08
6.92167E-03	3.04873E-10	7.39817E-08
6.95151E-03	3.07766E-10	7.39794E-08
6.98134E-03	3.10659E-10	7.39770E-08
7.01118E-03	3.13552E-10	7.39748E-08
7.04101E-03	3.16446E-10	7.39726E-08
7.07085E-03	3.19341E-10	7.39704E-08
7.10068E-03	3.22235E-10	7.39682E-08
7.13052E-03	3.25131E-10	7.39661E-08
7.16035E-03	3.28026E-10	7.39641E-08
7.19019E-03	3.30922E-10	7.39620E-08
7.22002E-03	3.33818E-10	7.39600E-08
7.24986E-03	3.36714E-10	7.39580E-08
7.27969E-03	3.39611E-10	7.39561E-08
7.30953E-03	3.42507E-10	7.39542E-08
7.33936E-03	3.45404E-10	7.39523E-08
7.36920E-03	3.48302E-10	7.39504E-08
7.39903E-03	3.51199E-10	7.39486E-08
7.44395E-03	3.55561E-10	7.39458E-08
7.48886E-03	3.59924E-10	7.39431E-08
7.53378E-03	3.64287E-10	7.39405E-08
7.57869E-03	3.68650E-10	7.39379E-08
7.62361E-03	3.73014E-10	7.39353E-08
7.66852E-03	3.77377E-10	7.39328E-08
7.71343E-03	3.81741E-10	7.39302E-08
7.75835E-03	3.86105E-10	7.39278E-08
7.80326E-03	3.90469E-10	7.39253E-08
7.84818E-03	3.94834E-10	7.39229E-08
7.89309E-03	3.99198E-10	7.39205E-08
7.93801E-03	4.03563E-10	7.39181E-08
7.98292E-03	4.07928E-10	7.39157E-08
8.02784E-03	4.12292E-10	7.39133E-08
8.07275E-03	4.16657E-10	7.39110E-08
8.11767E-03	4.21022E-10	7.39087E-08
8.16258E-03	4.25387E-10	7.39064E-08
8.20750E-03	4.29751E-10	7.39041E-08
8.25241E-03	4.34116E-10	7.39018E-08
8.29732E-03	4.38481E-10	7.38995E-08
8.34224E-03	4.42846E-10	7.38972E-08
8.38715E-03	4.47210E-10	7.38950E-08
8.43207E-03	4.51575E-10	7.38927E-08
8.47698E-03	4.55939E-10	7.38905E-08
8.52190E-03	4.60304E-10	7.38882E-08
8.56681E-03	4.64668E-10	7.38860E-08
8.61173E-03	4.69033E-10	7.38838E-08
8.65664E-03	4.73397E-10	7.38816E-08
8.70156E-03	4.77761E-10	7.38794E-08
8.74647E-03	4.82125E-10	7.38771E-08
8.81389E-03	4.88675E-10	7.38738E-08
8.88131E-03	4.95225E-10	7.38705E-08
8.94873E-03	5.01775E-10	7.38672E-08
9.01615E-03	5.08325E-10	7.38639E-08
9.08357E-03	5.14874E-10	7.38607E-08
9.15098E-03	5.21422E-10	7.38574E-08
9.21840E-03	5.27971E-10	7.38541E-08
9.28582E-03	5.34519E-10	7.38509E-08
9.35324E-03	5.41067E-10	7.38476E-08
9.42066E-03	5.47614E-10	7.38443E-08
9.48808E-03	5.54161E-10	7.38411E-08
9.55550E-03	5.60708E-10	7.38378E-08
9.62291E-03	5.67254E-10	7.38345E-08
9.69033E-03	5.73800E-10	7.38313E-08
9.75775E-03	5.80345E-10	7.38281E-08
9.82517E-03	5.86890E-10	7.38248E-08
9.89259E-03	5.93435E-10	7.38216E-08
9.96001E-03	5.99979E-10	7.38183E-08
