x[cm]_0	X-NO_0	x[cm]_1	X-NO_1	x[cm]_2	X-NO_2
2.24245E-01	2.99245E-02	1.43857E-01	2.31505E-01	4.09126E-01	3.51858E-01
2.24879E-01	3.01455E-02	1.44306E-01	2.32807E-01	4.09912E-01	3.54190E-01
2.25509E-01	3.03664E-02	1.44754E-01	2.34111E-01	4.10697E-01	3.56532E-01
2.26139E-01	3.05885E-02	1.45202E-01	2.35418E-01	4.11483E-01	3.58887E-01
2.26769E-01	3.08118E-02	1.45649E-01	2.36727E-01	4.12269E-01	3.61252E-01
2.27399E-01	3.10364E-02	1.46096E-01	2.38039E-01	4.13056E-01	3.63630E-01
2.28029E-01	3.12623E-02	1.46543E-01	2.39356E-01	4.13843E-01	3.66023E-01
2.28659E-01	3.14893E-02	1.46990E-01	2.40677E-01	4.14632E-01	3.68433E-01
2.29289E-01	3.17177E-02	1.47437E-01	2.42003E-01	4.15421E-01	3.70856E-01
2.29919E-01	3.19472E-02	1.47883E-01	2.43333E-01	4.16211E-01	3.73291E-01
2.30549E-01	3.21781E-02	1.48330E-01	2.44668E-01	4.17001E-01	3.75737E-01
2.31179E-01	3.24102E-02	1.48777E-01	2.46006E-01	4.17790E-01	3.78196E-01
2.31809E-01	3.26436E-02	1.49223E-01	2.47347E-01	4.18580E-01	3.80667E-01
2.32436E-01	3.28771E-02	1.49669E-01	2.48690E-01	4.19372E-01	3.83157E-01
2.33057E-01	3.31095E-02	1.50114E-01	2.50038E-01	4.20167E-01	3.85667E-01
2.33673E-01	3.33415E-02	1.50559E-01	2.51389E-01	4.20962E-01	3.88192E-01
2.34289E-01	3.35744E-02	1.51005E-01	2.52745E-01	4.21758E-01	3.90729E-01
2.34904E-01	3.38085E-02	1.51450E-01	2.54105E-01	4.22553E-01	3.93277E-01
2.35519E-01	3.40439E-02	1.51895E-01	2.55470E-01	4.23349E-01	3.95836E-01
2.36135E-01	3.42805E-02	1.52340E-01	2.56839E-01	4.24145E-01	3.98409E-01
2.36750E-01	3.45183E-02	1.52786E-01	2.58213E-01	4.24944E-01	4.01001E-01
2.37365E-01	3.47575E-02	1.53231E-01	2.59590E-01	4.25746E-01	4.03616E-01
2.37981E-01	3.49978E-02	1.53675E-01	2.60970E-01	4.26550E-01	4.06247E-01
2.38596E-01	3.52395E-02	1.54119E-01	2.62353E-01	4.27354E-01	4.08890E-01
2.39212E-01	3.54824E-02	1.54563E-01	2.63741E-01	4.28157E-01	4.11544E-01
2.39827E-01	3.57266E-02	1.55007E-01	2.65133E-01	4.28961E-01	4.14209E-01
2.40441E-01	3.59715E-02	1.55452E-01	2.66530E-01	4.29766E-01	4.16890E-01
2.41050E-01	3.62157E-02	1.55896E-01	2.67931E-01	4.30574E-01	4.19595E-01
2.41654E-01	3.64591E-02	1.56340E-01	2.69337E-01	4.31387E-01	4.22326E-01
2.42256E-01	3.67032E-02	1.56784E-01	2.70748E-01	4.32202E-01	4.25075E-01
2.42859E-01	3.69484E-02	1.57228E-01	2.72162E-01	4.33017E-01	4.27837E-01
2.43461E-01	3.71949E-02	1.57672E-01	2.73580E-01	4.33831E-01	4.30610E-01
2.44063E-01	3.74427E-02	1.58115E-01	2.75002E-01	4.34646E-01	4.33395E-01
2.44666E-01	3.76917E-02	1.58559E-01	2.76428E-01	4.35462E-01	4.36199E-01
2.45268E-01	3.79420E-02	1.59002E-01	2.77859E-01	4.36284E-01	4.39032E-01
2.45871E-01	3.81936E-02	1.59446E-01	2.79294E-01	4.37110E-01	4.41897E-01
2.46473E-01	3.84464E-02	1.59890E-01	2.80734E-01	4.37939E-01	4.44780E-01
2.47075E-01	3.87005E-02	1.60333E-01	2.82179E-01	4.38768E-01	4.47677E-01
2.47678E-01	3.89559E-02	1.60777E-01	2.83628E-01	4.39596E-01	4.50586E-01
2.48280E-01	3.92124E-02	1.61220E-01	2.85081E-01	4.40425E-01	4.53508E-01
2.48878E-01	3.94688E-02	1.61663E-01	2.86538E-01	4.41257E-01	4.56452E-01
2.49472E-01	3.97242E-02	1.62107E-01	2.88000E-01	4.42095E-01	4.59435E-01
2.50063E-01	3.99798E-02	1.62550E-01	2.89466E-01	4.42940E-01	4.62452E-01
2.50654E-01	4.02366E-02	1.62993E-01	2.90936E-01	4.43786E-01	4.65489E-01
2.51245E-01	4.04947E-02	1.63436E-01	2.92411E-01	4.44632E-01	4.68538E-01
2.51835E-01	4.07540E-02	1.63879E-01	2.93891E-01	4.45478E-01	4.71602E-01
2.52426E-01	4.10146E-02	1.64322E-01	2.95375E-01	4.46324E-01	4.74679E-01
