
read in file:  ITV_mech_withExtra.chthermo
             species    #C    #H    #O    #N
           C6H3A1CH3    11     9     0     0
              C11H9O    11     9     2     0
           C6H4A1CH3    11     9     0     0
              A2OCH3    11     9     1     0
             A2OHCH3    11    10     1     0
       OXO2C6H4A1CH3    11     9     2     0
       MXO2C6H4A1CH3    11     9     2     0
          OC6H4A1CH2    11     8     1     0
         CHOCCH3ACO1    11     9     2     0
             HOA2CH3    11    10     1     0
             HOA2CH2    11     9     1     0
          HOA2CH2OOH    11    10     3     0
           HOA2CH2OO    11     9     3     0
             HOA2CHO    11     8     2     0
            HOA2CH2O    11     9     2     0
              HOA2CO    11     7     2     0
             O2A2CH3    11     9     2     0
              OA2CH3    11     9     1     0
               A1C2H     8     5     0     0
             A2C2H2A    12     9     0     0
             A2C2H2B    12     9     0     0
              A2C2HA    12     8     0     0
              A2C2HB    12     8     0     0
              A2C2HA    12     7     0     0
              A2C2HB    12     7     0     0
                A2R5    12     8     0     0
               A2R5X    12     7     0     0
            A2R5C2H2    14     9     0     0
             A2R5C2H    14     8     0     0
             A2R5C2H    14     7     0     0
           P2XC12H10    12    10     0     0
           P2XXC12H9    12     9     0     0
            MEXC12H9    13    12     0     0
            MEXC12H8    13    11     0     0
           A3XXC14H9    14     9     0     0
           A3XC14H10    14    10     0     0
           A3YXC14H9    14     9     0     0
               A3R5X    16     9     0     0
                A3R5    16    10     0     0
           A4XC16H10    16    10     0     0
           A4XXC16H9    16     9     0     0
                A4R5    18    10     0     0
                FLTN    16    10     0     0
             A2OHCH2    11     9     1     0
           A2OHCH2OO    11     9     3     0
          A2OHCH2OOH    11    10     3     0
             A2OHCHO    11     8     2     0
            A2OHCH2O    11     9     2     0
              A2OHCO    11     7     2     0
               ANTR5    16    10     0     0
      CHCCH2CH2CHCH2     6     8     0     0
      CH2CCHCH2CHCH2     6     8     0     0
                C4H5     6     6     0     0
        CH2CHCHCHCCH     6     6     0     0
       BENZOFULVENYL    10     7     0     0
             A1C2HX2    10     6     0     0
               C10H6    10     6     0     0
               C10H6    10     6     0     0
     C6H4(C2H)(C2H3)    10     8     0     0
            NAPHTHYL    10     9     0     0
        BENZOFULVENE    10     8     0     0
           FULVALENE    10     8     0     0
              C10H10    10    10     0     0
          VINYLCPDYL     7     7     0     0
              CXC7H7     7     7     0     0
            A1CCVCVC    10    10     0     0
              A1C4H5    10    10     0     0
            A1CVCCTC    10     8     0     0
             A1CCCTC    10    10     0     0
